região onde foi realizada a entrevista;idade: qual a sua idade (em anos completos)?;área;sexo;cor ou raça;última série escolar que concluiu com aprovação;até que série o seu pai estudou;até que série a sua mãe estudou;renda total do chefe da família no último mês;renda total de todos os moradores (parentes e agregados) no último mês;número de moradores no domicílio (parentes e agregados);no último mês, alguma pessoa deste domicílio recebeu rendimentos do bolsa famíli;religião;mulheres que usam roupas que mostram o corpo merecem ser atacadas;as mulatas são mais fogosas do que as mulheres brancas;dá para entender que um homem que cresceu em uma família violenta agrida sua mul;os homens devem ser a cabeça do lar;casos de violência dentro de casa devem ser discutidos somente entre os membros ;incomoda ver dois homens, ou duas mulheres, se beijando na boca em público;se as mulheres soubessem como se comportar, haveria menos estupros;homem que bate na esposa tem que ir para a cadeia;é violência falar mentiras sobre uma mulher para os outros;toda mulher sonha em se casar;o que acontece com o casal em casa não interessa aos outros;quando há violência, os casais devem se separar;casais de pessoas do mesmo sexo devem ter os mesmos direitos dos outros casais;dá pra entender que um homem rasgue ou quebre as coisas da mulher se ficou nervo;um homem pode xingar e gritar com sua própria mulher;é da natureza do homem ser violento;em briga de marido e mulher, não se mete a colher;a roupa suja deve ser lavada em casa;uma mulher só se sente realizada quando tem filhos/as;a mulher casada deve satisfazer o marido na cama, mesmo quando não tem vontade;piada de preto é só brincadeira, não é racismo;um casal de dois homens vive um amor tão bonito quanto entre um homem e uma mulh;mulher que é agredida e continua com o parceiro gosta de apanhar;casamento de homem com homem ou de mulher com mulher deve ser proibido;a mulher que apanha em casa deve ficar quieta para não prejudicar os filhos;a questão da violência contra as mulheres recebe mais importância do que merece;tem mulher que é pra casar, tem mulher que é pra cama
NORDESTE;42;metropolitano;feminino;parda;médio completo;analfabeto ou sem instrução;analfabeto ou sem instrução;678;800;3;2;católica;discorda parcial;discorda parcial;concorda total;discorda parcial;concorda parcial;discorda parcial;concorda parcial;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;discorda parcial;discorda total;discorda total;discorda parcial;concorda total;discorda total;discorda parcial;concorda total;neutro;discorda total;concorda total;discorda parcial;concorda total;neutro
NORDESTE;49;metropolitano;masculino;branca;fundamental completa;analfabeto ou sem instrução;analfabeto ou sem instrução;678;1200;2;1;evangélica;discorda total;concorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda parcial;concorda parcial;discorda total;concorda total;concorda total;discorda total;discorda parcial;neutro;discorda total;discorda parcial;concorda total;discorda total;discorda total;discorda total
NORDESTE;38;metropolitano;feminino;preta;médio completo;analfabeto ou sem instrução;analfabeto ou sem instrução;678;1400;3;2;católica;discorda total;discorda total;discorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda parcial;discorda parcial;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total;concorda total
NORDESTE;40;metropolitano;masculino;parda;quarta série fundamental completa;analfabeto ou sem instrução;analfabeto ou sem instrução;678;2000;5;2;católica;discorda parcial;concorda parcial;concorda parcial;concorda total;discorda parcial;discorda parcial;discorda parcial;concorda parcial;concorda total;discorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda parcial;discorda total;concorda parcial;concorda parcial;concorda total;discorda parcial
NORDESTE;64;metropolitano;feminino;parda;sexta série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;360;360;1;1;evangélica;discorda parcial;neutro;concorda total;discorda total;concorda parcial;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;discorda total;discorda parcial;concorda total;concorda total;discorda total;discorda total;neutro;concorda total;concorda total;discorda parcial;concorda total;discorda total;discorda total
NORDESTE;30;metropolitano;feminino;preta;médio completo;não conheceu;sétima série fundamental;850;850;4;1;evangélica;discorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;discorda parcial;discorda total;concorda total;discorda total;discorda parcial;concorda parcial;concorda total;concorda total;discorda parcial;discorda total;discorda total;concorda total;discorda parcial;concorda total;discorda total;discorda total;concorda parcial
NORDESTE;40;metropolitano;feminino;branca;médio completo;quarta série fundamental incompleta;quarta série fundamental incompleta;520;520;4;1;católica;discorda total;concorda total;discorda parcial;concorda total;discorda total;concorda total;discorda parcial;concorda total;concorda total;discorda parcial;concorda total;concorda total;concorda total;discorda parcial;discorda total;discorda parcial;concorda total;concorda total;discorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda total;concorda total;concorda parcial;discorda parcial;concorda total
NORTE;80;urbano;masculino;parda;terceira série fundamental;analfabeto ou sem instrução;terceira série fundamental;678;678;4;2;espírita;concorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;concorda parcial;discorda total;concorda parcial;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda total
NORTE;46;urbano;feminino;parda;médio completo;analfabeto ou sem instrução;analfabeto ou sem instrução;900;1356;6;1;católica;discorda parcial;concorda total;discorda total;concorda total;concorda total;discorda total;concorda total;concorda total;discorda parcial;concorda total;concorda total;concorda total;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;discorda parcial;concorda total;concorda total;concorda total;discorda total;concorda total;discorda total;concorda parcial;concorda total
NORTE;71;urbano;masculino;parda;analfabeto ou sem instrução;analfabeto ou sem instrução;analfabeto ou sem instrução;678;800;5;1;evangélica;concorda total;concorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda total;concorda total;concorda parcial;concorda total;concorda parcial;discorda total;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda total
NORTE;60;urbano;masculino;parda;segunda série fundamental;quinta série fundamental;primeira série fundamental;3650;3650;1;2;sem;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda parcial;concorda total;concorda total;concorda parcial;discorda total;discorda parcial;discorda total;concorda total;concorda total;discorda total;discorda parcial;concorda total
NORTE;29;urbano;masculino;parda;quarta série fundamental completa;primeira série fundamental;analfabeto ou sem instrução;678;678;3;2;católica;discorda total;ns;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;concorda parcial;concorda parcial
NORTE;44;urbano;masculino;parda;médio completo;primeira série fundamental;terceira série fundamental;678;1150;3;2;evangélica;concorda total;ns;discorda total;concorda total;concorda total;neutro;concorda total;concorda parcial;concorda parcial;concorda parcial;ns;concorda parcial;ns;concorda parcial;discorda total;concorda parcial;concorda total;concorda total;concorda parcial;ns;discorda total;ns;concorda total;ns;concorda parcial;discorda total;concorda total
NORTE;52;urbano;feminino;parda;quarta série fundamental incompleta;analfabeto ou sem instrução;analfabeto ou sem instrução;300;370;3;1;espírita;discorda parcial;concorda total;discorda total;concorda total;discorda total;discorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;concorda parcial;concorda parcial;discorda total;discorda total;concorda total;concorda total;discorda total;concorda parcial;concorda total
NORTE;46;urbano;masculino;parda;segunda série fundamental;não sabe;analfabeto ou sem instrução;678;1600;5;2;católica;discorda total;concorda total;discorda total;discorda parcial;concorda parcial;discorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;discorda parcial;concorda total
NORTE;27;urbano;masculino;parda;médio completo;não conheceu;analfabeto ou sem instrução;678;678;7;1;evangélica;discorda total;neutro;concorda parcial;discorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda total;discorda parcial;discorda total;discorda total;concorda parcial;concorda total;concorda total;discorda total;discorda parcial;discorda total
NORTE;41;urbano;feminino;parda;médio completo;analfabeto ou sem instrução;analfabeto ou sem instrução;450;450;4;1;católica;concorda total;neutro;concorda parcial;concorda total;concorda total;discorda total;concorda total;concorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;discorda total;concorda parcial;discorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;discorda parcial;concorda total;concorda total;ns;concorda parcial;discorda total;concorda total
