regiÆo onde foi realizada a entrevista	idade: qual a sua idade (em anos completos)?	 rea	sexo	cor ou ra‡a	£ltima s‚rie escolar que concluiu com aprova‡Æo	at‚ que s‚rie o seu pai estudou	at‚ que s‚rie a sua mÆe estudou	renda total do chefe da fam¡lia no £ltimo mˆs	renda total de todos os moradores (parentes e agregados) no £ltimo mˆs	n£mero de moradores no domic¡lio (parentes e agregados)	no £ltimo mˆs, alguma pessoa deste domic¡lio recebeu rendimentos do bolsa fam¡li	religiÆo	mulheres que usam roupas que mostram o corpo merecem ser atacadas	as mulatas sÆo mais fogosas do que as mulheres brancas	d  para entender que um homem que cresceu em uma fam¡lia violenta agrida sua mul	os homens devem ser a cabe‡a do lar	casos de violˆncia dentro de casa devem ser discutidos somente entre os membros 	incomoda ver dois homens, ou duas mulheres, se beijando na boca em p£blico	se as mulheres soubessem como se comportar, haveria menos estupros	homem que bate na esposa tem que ir para a cadeia	‚ violˆncia falar mentiras sobre uma mulher para os outros	toda mulher sonha em se casar	o que acontece com o casal em casa nÆo interessa aos outros	quando h  violˆncia, os casais devem se separar	casais de pessoas do mesmo sexo devem ter os mesmos direitos dos outros casais	d  pra entender que um homem rasgue ou quebre as coisas da mulher se ficou nervo	um homem pode xingar e gritar com sua pr¢pria mulher	‚ da natureza do homem ser violento	em briga de marido e mulher, nÆo se mete a colher	a roupa suja deve ser lavada em casa	uma mulher s¢ se sente realizada quando tem filhos/as	a mulher casada deve satisfazer o marido na cama, mesmo quando nÆo tem vontade	piada de preto ‚ s¢ brincadeira, nÆo ‚ racismo	um casal de dois homens vive um amor tÆo bonito quanto entre um homem e uma mulh	mulher que ‚ agredida e continua com o parceiro gosta de apanhar	casamento de homem com homem ou de mulher com mulher deve ser proibido	a mulher que apanha em casa deve ficar quieta para nÆo prejudicar os filhos	a questÆo da violˆncia contra as mulheres recebe mais importƒncia do que merece	tem mulher que ‚ pra casar, tem mulher que ‚ pra cama
NORDESTE	40	urbano	feminino	parda	sexta s‚rie fundamental	quarta s‚rie fundamental completa	segunda s‚rie fundamental	678	678	2	2	cat¢lica	discorda total	ns	discorda total	discorda total	concorda parcial	discorda total	concorda parcial	concorda total	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	concorda total	concorda parcial	concorda parcial	discorda total	discorda total	concorda parcial	concorda parcial	discorda total	discorda total	discorda parcial	discorda total
SUDESTE	29	urbano	feminino	preta	terceira s‚rie m‚dio incompleto	fundamental completa	fundamental completa	950	950	2	2	afrobrasileiras	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda total	discorda total	concorda total	concorda parcial	concorda parcial	discorda parcial	concorda total	discorda parcial	discorda total	discorda total	discorda total	concorda parcial	concorda total	concorda parcial	discorda total	discorda total	discorda parcial	discorda parcial	concorda parcial	discorda total	discorda total	concorda total
NORDESTE	30	urbano	masculino	parda	m‚dio completo	quarta s‚rie fundamental incompleta	analfabeto ou sem instru‡Æo	1000	1000	3	1	sem	discorda total	concorda total	concorda parcial	concorda parcial	discorda parcial	concorda total	concorda parcial	concorda total	discorda total	concorda parcial	discorda total	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda total	discorda total	discorda total	discorda total	concorda total	concorda total	discorda total	discorda total	discorda total
SUL	32	urbano	masculino	branca	s‚tima s‚rie fundamental	segunda s‚rie fundamental	terceira s‚rie fundamental	700	1200	3	2	evang‚lica	discorda parcial	discorda total	discorda parcial	concorda total	discorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	discorda parcial	discorda parcial	concorda total	discorda parcial	discorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda total	discorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda parcial	concorda total	discorda total
NORDESTE	64	urbano	feminino	branca	terceira s‚rie fundamental	nÆo sabe	nÆo sabe	678	1500	3	2	cat¢lica	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	concorda total	discorda total	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda parcial	concorda total	discorda total	discorda total	concorda parcial
NORDESTE	28	urbano	feminino	parda	m‚dio completo	terceira s‚rie fundamental	terceira s‚rie fundamental	678	2800	6	2	cat¢lica	discorda total	concorda parcial	discorda total	concorda total	concorda total	discorda total	concorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	discorda total	discorda total	concorda parcial	concorda parcial	discorda total	concorda parcial	discorda parcial	discorda total	concorda parcial	discorda total	concorda total	discorda total	discorda total	discorda total	concorda parcial
SUL	42	urbano	feminino	preta	sexta s‚rie fundamental	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo		800	2	88	evang‚lica	discorda parcial	discorda parcial	discorda parcial	concorda total	discorda parcial	concorda total	discorda parcial	concorda total	concorda total	concorda total	discorda parcial	concorda total	concorda total	discorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	discorda parcial	discorda parcial	discorda total
SUL	64	urbano	feminino	branca	quarta s‚rie fundamental completa	quarta s‚rie fundamental incompleta	quarta s‚rie fundamental incompleta	650	1200	4	2	cat¢lica	discorda total	discorda total	discorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda parcial	concorda total	discorda parcial	concorda total	concorda total	concorda total	concorda total	discorda parcial	discorda parcial	concorda parcial	concorda total	concorda total	discorda parcial	discorda total	discorda parcial
NORDESTE	32	urbano	masculino	parda	m‚dio completo	quarta s‚rie fundamental completa	m‚dio completo	2500	3000	2	2	cat¢lica	discorda total	ns	discorda total	concorda total	concorda parcial	discorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total	concorda total	concorda total	neutro	discorda total	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total
SUL	24	urbano	masculino	branca	fundamental completa	oitava s‚rie fundamental incompleta	sexta s‚rie fundamental	700	1400	6	1	cat¢lica	discorda parcial	concorda parcial	discorda parcial	concorda total	concorda total	discorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	discorda parcial	discorda parcial	discorda parcial	concorda parcial	discorda parcial	concorda total	concorda total	concorda total	discorda parcial	discorda total	discorda parcial	concorda total	concorda total	discorda parcial	discorda parcial	discorda parcial
SUL	56	urbano	feminino	branca	fundamental completa	terceira s‚rie fundamental	terceira s‚rie fundamental		900	3	2	cat¢lica	concorda parcial	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda parcial	discorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	neutro	discorda parcial	concorda total	ns	concorda total	neutro	discorda total
SUL	19	urbano	feminino	amarela	m‚dio completo	quinta s‚rie fundamental	quinta s‚rie fundamental	700	1400	3	2	evang‚lica	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda parcial	concorda parcial	discorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	discorda parcial	discorda parcial	discorda parcial
NORDESTE	43	urbano	feminino	branca	m‚dio completo	terceira s‚rie fundamental	terceira s‚rie fundamental	1000	1500	3	1	cat¢lica	concorda parcial	discorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda total	concorda total	discorda parcial	discorda total	discorda total	concorda parcial
SUL	40	urbano	masculino	branca	primeira s‚rie fundamental	primeira s‚rie fundamental	primeira s‚rie fundamental	1200	4000	5	2	cat¢lica	concorda total	discorda parcial	discorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	discorda parcial	discorda parcial	discorda total	discorda total	concorda total	concorda total	discorda parcial	discorda parcial	discorda parcial
NORDESTE	59	urbano	feminino	amarela	primeira s‚rie fundamental	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	1300	2	2	cat¢lica	concorda total	discorda total	discorda total	discorda total	concorda parcial	discorda total	concorda parcial	concorda total	concorda total	discorda total	concorda parcial	concorda parcial	concorda total	discorda total	concorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	concorda parcial	concorda parcial	concorda total	concorda parcial	discorda total	discorda total	concorda parcial	concorda total
SUL	55	urbano	feminino	branca	segunda s‚rie fundamental	primeira s‚rie fundamental	primeira s‚rie fundamental		2000	3	2	evang‚lica	concorda parcial	ns	ns	concorda total	concorda total	neutro	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	concorda total	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	discorda parcial	discorda parcial	discorda total
NORDESTE	18	urbano	feminino	parda	quarta s‚rie fundamental completa	analfabeto ou sem instru‡Æo	terceira s‚rie fundamental	678	1300	3	2	cat¢lica	discorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	concorda parcial	concorda total	concorda total	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	concorda parcial	concorda total	concorda total	discorda total	concorda total	concorda parcial	discorda total
SUL	63	urbano	masculino	branca	m‚dio completo	primeira s‚rie fundamental	primeira s‚rie fundamental	1600	2400	3	2	cat¢lica	discorda parcial	neutro	discorda parcial	discorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda parcial	concorda total	discorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	neutro	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	discorda parcial	discorda parcial	discorda parcial
SUL	63	urbano	feminino	branca	quarta s‚rie fundamental completa	quarta s‚rie fundamental completa	quarta s‚rie fundamental completa	700	1700	2	2	outras	concorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	discorda parcial	discorda parcial	concorda parcial	discorda parcial	discorda parcial	concorda parcial	discorda total	discorda total	discorda total
SUL	27	urbano	feminino	branca	m‚dio completo	m‚dio completo	m‚dio completo	900	1500	4	2	cat¢lica	discorda parcial	ns	discorda parcial	discorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	ns	discorda parcial	discorda parcial	concorda total	discorda parcial	discorda parcial	discorda parcial	discorda parcial	discorda parcial
SUL	16	urbano	masculino	branca	primeira s‚rie fundamental	nÆo sabe	quarta s‚rie fundamental incompleta	900	1900	3	1	cat¢lica	discorda parcial	discorda parcial	discorda parcial	concorda total	discorda parcial	discorda parcial	concorda total	concorda total	ns	concorda total	concorda total	concorda total	concorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	concorda total	discorda parcial	discorda parcial	discorda parcial	concorda total	discorda parcial	discorda parcial	discorda parcial	discorda parcial
SUL	31	urbano	masculino	amarela	m‚dio completo	quarta s‚rie fundamental incompleta	quarta s‚rie fundamental incompleta	1000	2000		1	cat¢lica	discorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	discorda parcial	concorda total	ns	concorda total	concorda total	concorda total	discorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	concorda total	concorda total	discorda parcial	discorda parcial	discorda parcial	concorda total	discorda parcial	concorda total	discorda total
SUL	50	urbano	feminino	branca	m‚dio completo	quarta s‚rie fundamental completa	quarta s‚rie fundamental completa	630	1500	2	2	cat¢lica	concorda total	neutro	discorda parcial	concorda total	concorda total	discorda parcial	discorda parcial	concorda total	ns	concorda total	concorda total	concorda total	concorda total	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	neutro	neutro	neutro	discorda parcial	discorda parcial	discorda parcial	discorda parcial	discorda parcial	neutro
SUL	23	urbano	masculino	amarela	m‚dio completo	m‚dio completo	m‚dio completo	1000	3000	2	2	evang‚lica	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda total	neutro	neutro	concorda total	discorda parcial	discorda parcial	concorda total	concorda total	neutro	neutro	discorda parcial	discorda parcial	neutro	concorda total	concorda total	neutro	neutro	discorda parcial	concorda total	neutro	concorda parcial	neutro	discorda total
SUDESTE	65	urbano	masculino	parda	quarta s‚rie fundamental incompleta	segunda s‚rie fundamental	segunda s‚rie fundamental	1500	3200	3	2	cat¢lica	discorda total	concorda total	discorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda total	concorda parcial	concorda parcial	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	discorda total	discorda parcial	ns	discorda total	concorda total	discorda total	discorda total	discorda total
